"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408788367.3148;2;1;64;78;;;;;;;;;"26.04.2024 18:55:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408788378.9352;2;0;64;78;;;;;;;;;"26.04.2024 18:55:16";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408791098.7847;2;1;64;78;;;;;;;;;"26.04.2024 18:59:11";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408791110.3704;2;0;64;78;;;;;;;;;"26.04.2024 18:59:12";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408791168.2292;2;1;64;78;;;;;;;;;"26.04.2024 18:59:17";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408791179.8148;2;0;64;78;;;;;;;;;"26.04.2024 18:59:18";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408793566.5972;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 19:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408793566.5972;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 19:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408794790.787;2;1;64;78;;;;;;;;;"26.04.2024 19:04:30";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408794802.419;2;0;64;78;;;;;;;;;"26.04.2024 19:04:31";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408795299.9769;2;1;64;78;;;;;;;;;"26.04.2024 19:05:14";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408795311.5856;2;0;64;78;;;;;;;;;"26.04.2024 19:05:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408800511.1111;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 19:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408800511.1111;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 19:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408800558.7037;2;1;64;132;;;;;;;;;"26.04.2024 19:12:48";"Warnung Thermoelement Bandheizer Zone 4 defekt";"SM"
45408800917.3495;2;1;64;130;;;;;;;;;"26.04.2024 19:13:19";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408800917.3495;2;1;64;131;;;;;;;;;"26.04.2024 19:13:19";"Warnung Thermoelement Bandheizer Zone 3 defekt";"SM"
45408801276.3657;2;0;64;130;;;;;;;;;"26.04.2024 19:13:50";"Warnung Thermoelement Bandheizer Zone 2 defekt";"SM"
45408801276.3657;2;0;64;131;;;;;;;;;"26.04.2024 19:13:50";"Warnung Thermoelement Bandheizer Zone 3 defekt";"SM"
45408801276.3657;2;0;64;132;;;;;;;;;"26.04.2024 19:13:50";"Warnung Thermoelement Bandheizer Zone 4 defekt";"SM"
45408807455.6134;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 19:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408807455.6134;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 19:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
